machine_id,temperature,pressure,vibration,status,timestamp,quality_flag
M-102,111.36,53.42,3.76,STOPPED,2026-02-24 00:06:20.958363,GOOD
M-101,63.94,50.75,2.37,RUNNING,2026-02-24 00:06:20.958381,GOOD
M-102,65.08,75.57,3.4,STOPPED,2026-02-24 00:06:20.958389,GOOD
M-104,101.76,68.66,4.47,RUNNING,2026-02-24 00:06:20.958398,GOOD
M-101,113.83,66.38,4.78,STOPPED,2026-02-24 00:06:20.958405,GOOD
M-102,119.13,26.24,4.25,STOPPED,2026-02-24 00:06:20.958413,HIGH_TEMP
M-101,106.84,41.76,1.36,RUNNING,2026-02-24 00:06:20.958420,GOOD
M-101,69.52,21.11,0.86,RUNNING,2026-02-24 00:06:20.958428,GOOD
M-101,90.84,26.6,4.96,STOPPED,2026-02-24 00:06:20.958435,GOOD
M-103,90.06,27.96,0.62,RUNNING,2026-02-24 00:06:20.958443,GOOD
M-104,101.78,61.06,2.44,RUNNING,2026-02-24 00:06:20.958450,GOOD
M-104,108.81,60.05,2.89,RUNNING,2026-02-24 00:06:20.958456,GOOD
M-104,108.04,76.4,0.64,STOPPED,2026-02-24 00:06:20.958463,GOOD
M-104,67.19,63.83,0.46,STOPPED,2026-02-24 00:06:20.958470,GOOD
M-104,107.49,68.73,4.91,STOPPED,2026-02-24 00:06:20.958477,GOOD
M-101,98.17,60.75,4.7,RUNNING,2026-02-24 00:06:20.958484,GOOD
M-103,93.15,39.12,2.2,STOPPED,2026-02-24 00:06:20.958490,GOOD
M-101,110.41,56.92,4.57,STOPPED,2026-02-24 00:06:20.958498,GOOD
M-104,87.2,44.26,0.94,RUNNING,2026-02-24 00:06:20.958505,GOOD
M-103,83.15,39.63,4.84,STOPPED,2026-02-24 00:06:20.958511,GOOD
M-102,94.59,45.83,2.89,RUNNING,2026-02-24 00:06:20.958518,GOOD
M-101,115.52,38.71,3.22,RUNNING,2026-02-24 00:06:20.958524,HIGH_TEMP
M-101,66.22,78.85,0.62,STOPPED,2026-02-24 00:06:20.958531,GOOD
M-101,89.38,46.27,2.16,STOPPED,2026-02-24 00:06:20.958537,GOOD
M-102,105.85,49.67,0.74,RUNNING,2026-02-24 00:06:20.958543,GOOD
