machine_id,temperature,pressure,vibration,status,timestamp
M-101,116.51,78.26,3.43,RUNNING,2026-02-24 00:03:20.945248
M-102,103.25,23.88,2.31,RUNNING,2026-02-24 00:03:20.945259
M-104,64.3,22.92,4.7,STOPPED,2026-02-24 00:03:20.945265
M-103,81.08,48.34,1.69,STOPPED,2026-02-24 00:03:20.945270
M-103,65.53,64.85,3.91,RUNNING,2026-02-24 00:03:20.945275
M-104,69.64,43.91,3.63,STOPPED,2026-02-24 00:03:20.945280
M-104,99.78,23.11,1.26,STOPPED,2026-02-24 00:03:20.945284
M-101,106.31,48.59,3.97,STOPPED,2026-02-24 00:03:20.945289
M-102,64.29,29.46,0.28,RUNNING,2026-02-24 00:03:20.945293
M-104,110.82,76.15,2.79,STOPPED,2026-02-24 00:03:20.945297
M-102,98.47,69.93,3.14,RUNNING,2026-02-24 00:03:20.945302
M-103,86.3,68.74,1.62,STOPPED,2026-02-24 00:03:20.945307
M-102,92.56,73.99,2.47,STOPPED,2026-02-24 00:03:20.945312
M-103,103.18,20.99,3.78,STOPPED,2026-02-24 00:03:20.945316
M-103,112.52,26.47,1.3,RUNNING,2026-02-24 00:03:20.945320
M-103,98.06,37.34,3.0,STOPPED,2026-02-24 00:03:20.945324
M-101,86.19,75.69,0.25,RUNNING,2026-02-24 00:03:20.945328
M-101,117.49,60.37,0.33,STOPPED,2026-02-24 00:03:20.945332
M-104,91.19,63.71,4.62,RUNNING,2026-02-24 00:03:20.945336
M-102,111.86,38.89,0.11,STOPPED,2026-02-24 00:03:20.945340
M-102,71.16,46.84,4.22,RUNNING,2026-02-24 00:03:20.945344
M-102,119.73,74.23,4.29,STOPPED,2026-02-24 00:03:20.945347
M-102,104.69,38.09,2.72,STOPPED,2026-02-24 00:03:20.945351
M-102,112.83,26.65,3.31,STOPPED,2026-02-24 00:03:20.945354
M-104,82.1,67.6,0.88,RUNNING,2026-02-24 00:03:20.945358
